% Model,001.mph
% Version,COMSOL 5.6.0.341
% Date,"Jan 24 2022, 02:20"
% Dimension,2
% Nodes,21
% Expressions,3
% Description,"濃度, 圧力, 速度大きさ"
% Length unit,mm
% x,y,c (mol/m^3),p (Pa),spf.U (m/s)
-0.1,0,8.814834082880779E-7,48.39367858321798,9.720656676218199E-14
-0.09000000000000001,0,8.665193397070398E-7,41.72398329939187,0.012017584223158078
-0.08,0,8.515552711259902E-7,35.0542880155624,0.02403516844636571
-0.07,0,8.365912025449407E-7,28.384592731732948,0.03605275266957331
-0.06000000000000001,0,8.216271339638913E-7,21.714897447903486,0.048070336892780924
-0.05,0,8.066630653828417E-7,15.045202164074029,0.06008792111598854
-0.04000000000000001,0,7.916989968017922E-7,8.375506880244583,0.07210550533919614
-0.030000000000000002,0,7.767349282207428E-7,1.7058115964151224,0.08412308956240375
-0.020000000000000004,0,7.617708596396933E-7,-4.963883687414337,0.09614067378561136
-0.010000000000000009,0,7.468067910586438E-7,-11.63357897124379,0.10815825800881898
0,0,7.318427224775942E-7,-18.303274255073248,0.12017584223202658
0.009999999999999995,0,7.187165431045647E-7,-11.648690988038092,0.10815825800887018
0.01999999999999999,0,7.055903637315391E-7,-4.99410772097456,0.09614067378566256
0.030000000000000002,0,6.924641843585134E-7,1.6604755460889777,0.08412308956245494
0.04000000000000001,0,6.793380049854878E-7,8.315058813152515,0.07210550533924732
0.04999999999999999,0,6.662118256124622E-7,14.96964208021604,0.06008792111603974
0.060000000000000005,0,6.530856462394365E-7,21.624225347279577,0.04807033689283211
0.07,0,6.399594668664109E-7,28.27880861434312,0.03605275266962448
0.07999999999999999,0,6.268332874933853E-7,34.93339188140664,0.024035168446416906
0.09,0,6.137071081203596E-7,41.58797514847018,0.012017584223209282
0.1,0,6.005809287473336E-7,48.242558415533836,3.2439871363774125E-15
