% Model,100.mph
% Version,COMSOL 5.6.0.341
% Date,"Jan 24 2022, 02:26"
% Dimension,2
% Nodes,21
% Expressions,3
% Description,"濃度, 圧力, 速度大きさ"
% Length unit,mm
% x,y,c (mol/m^3),p (Pa),spf.U (m/s)
-0.1,0,3.341393945768695E-6,48.18375924595534,9.681590627109042E-14
-0.09000000000000001,0,3.2990038123854135E-6,41.54203616390238,0.011964782951241695
-0.08,0,3.25661367900209E-6,34.90031308184607,0.023929565902532736
-0.07,0,3.2142235456187667E-6,28.258589999789784,0.03589434885382374
-0.06000000000000001,0,3.1718334122354437E-6,21.616866917733493,0.047859131805114766
-0.05,0,3.1294432788521204E-6,14.975143835677187,0.059823914756405784
-0.04000000000000001,0,3.087053145468797E-6,8.333420753620905,0.07178869770769679
-0.030000000000000002,0,3.0446630120854736E-6,1.6916976715646057,0.0837534806589878
-0.020000000000000004,0,3.00227287870215E-6,-4.950025410491692,0.09571826361027883
-0.010000000000000009,0,2.959882745318827E-6,-11.591748492547984,0.10768304656156984
0,0,2.9174926119355034E-6,-18.23347157460428,0.11964782951286086
0.009999999999999995,0,2.88113933665926E-6,-11.605140646983749,0.1076830465616208
0.01999999999999999,0,2.844786061383029E-6,-4.97680971933496,0.0957182636103298
0.030000000000000002,0,2.8084327861067984E-6,1.6515212083138346,0.08375348065903877
0.04000000000000001,0,2.7720795108305676E-6,8.279852135962633,0.07178869770774773
0.04999999999999999,0,2.735726235554337E-6,14.908183063611412,0.05982391475645675
0.060000000000000005,0,2.699372960278106E-6,21.536513991260207,0.04785913180516573
0.07,0,2.6630196850018752E-6,28.16484491890901,0.035894348853874686
0.07999999999999999,0,2.6266664097256444E-6,34.7931758465578,0.023929565902583695
0.09,0,2.5903131344494137E-6,41.42150677420659,0.011964782951292684
0.1,0,2.5539598591731816E-6,48.0498377018555,3.231510188101674E-15
