% Model,010.mph
% Version,COMSOL 5.6.0.341
% Date,"Jan 24 2022, 02:21"
% Dimension,2
% Nodes,21
% Expressions,3
% Description,"濃度, 圧力, 速度大きさ"
% Length unit,mm
% x,y,c (mol/m^3),p (Pa),spf.U (m/s)
-0.1,0,1.7808208954989903E-6,48.2096762209951,9.706642647338313E-14
-0.09000000000000001,0,1.7591595330268241E-6,41.56213764969342,0.012021977641202023
-0.08,0,1.7374981705546385E-6,34.914599078388406,0.02404395528245363
-0.07,0,1.7158368080824526E-6,28.26706050708341,0.0360659329237052
-0.06000000000000001,0,1.694175445610267E-6,21.619521935778412,0.04808791056495678
-0.05,0,1.6725140831380812E-6,14.9719833644734,0.06010988820620838
-0.04000000000000001,0,1.6508527206658955E-6,8.324444793168414,0.07213186584745994
-0.030000000000000002,0,1.6291913581937097E-6,1.6769062218634105,0.08415384348871152
-0.020000000000000004,0,1.6075299957215238E-6,-4.970632349441594,0.0961758211299631
-0.010000000000000009,0,1.585868633249338E-6,-11.618170920746591,0.10819779877121469
0,0,1.5642072707771524E-6,-18.265709492051595,0.12021977641246627
0.009999999999999995,0,1.5439969709630872E-6,-11.618824016733456,0.1081977987712659
0.01999999999999999,0,1.523786671149025E-6,-4.9719385413870105,0.09617582113001433
0.030000000000000002,0,1.5035763713349628E-6,1.6749469339594432,0.08415384348876273
0.04000000000000001,0,1.4833660715209008E-6,8.321832409305896,0.07213186584751113
0.04999999999999999,0,1.4631557717068386E-6,14.968717884652337,0.060109888206259586
0.060000000000000005,0,1.4429454718927766E-6,21.615603359998794,0.048087910565008
0.07,0,1.4227351720787144E-6,28.262488835345252,0.0360659329237564
0.07999999999999999,0,1.4025248722646524E-6,34.909374310691696,0.024043955282504834
0.09,0,1.3823145724505902E-6,41.55625978603815,0.012021977641253257
0.1,0,1.3621042726365274E-6,48.20314526138471,3.2399473904467305E-15
