 ,Area1,Mean1,StdDev1,Min1,Max1
1,51984,1012.202,63.19,550,1204
2,51984,1002.749,63.003,550,1180
3,51984,1000.192,62.942,552,1154
4,51984,1000.894,62.576,534,1162
5,51984,1001.193,63.033,544,1160
6,51984,997.767,62.532,541,1156
7,51984,1001.017,62.96,539,1177
8,51984,999.583,62.816,535,1160
9,51984,1000.637,62.647,537,1182
10,51984,997.159,62.554,548,1163
11,51984,997.294,62.577,533,1191
12,51984,998.926,62.551,535,1174
13,51984,998.024,62.19,547,1153
14,51984,999.237,62.539,553,1189
15,51984,997.003,62.575,537,1201
16,51984,996.376,62.309,546,1165
17,51984,995.51,61.985,536,1171
18,51984,995.247,62.189,549,1151
19,51984,995.346,62.489,538,1158
20,51984,996.68,62.159,546,1144
21,51984,995.686,62.375,539,1162
22,51984,994.354,61.916,543,1159
23,51984,995.065,62.228,538,1173
24,51984,997.872,62.563,528,1167
25,51984,990.885,61.892,534,1143
26,51984,993.066,61.964,545,1157
27,51984,992.163,62.08,529,1171
28,51984,994.659,62.074,526,1151
29,51984,994.028,61.966,535,1161
30,51984,994.122,62.182,525,1157
31,51984,992.555,62.156,536,1158
32,51984,991.734,62.028,524,1181
33,51984,991.288,61.758,544,1168
34,51984,991.544,61.902,549,1162
35,51984,992.795,62.035,532,1165
36,51984,991.004,61.601,544,1150
37,51984,989.672,61.527,541,1166
38,51984,992.659,62.209,545,1165
39,51984,988.285,61.426,540,1156
40,51984,990.35,61.866,538,1172
41,51984,989.393,61.735,536,1156
42,51984,988.188,61.515,529,1146
43,51984,988.834,61.612,553,1160
44,51984,986.658,61.375,539,1159
45,51984,987.851,61.357,538,1148
46,51984,988.029,61.511,541,1153
47,51984,988.929,61.834,535,1156
48,51984,987.262,61.503,547,1148
49,51984,987.411,61.51,537,1160
50,51984,987.755,61.398,540,1189
51,51984,987.77,61.602,538,1161
52,51984,987.027,61.452,546,1152
53,51984,986.914,61.254,528,1157
54,51984,984.341,61.118,538,1158
55,51984,986.152,61.37,540,1168
56,51984,985.967,61.632,536,1169
57,51984,985.543,61.248,552,1150
58,51984,986.443,61.291,533,1145
59,51984,986.106,60.88,546,1167
60,51984,983.697,61.319,540,1173
61,51984,984.843,61.03,550,1138
62,51984,984.022,61.167,550,1147
63,51984,983.48,61.042,550,1157
64,51984,983.313,61.028,543,1154
65,51984,985.151,61.18,541,1152
66,51984,981.328,60.866,550,1145
67,51984,983.386,61.326,531,1156
68,51984,983.047,61.064,533,1160
69,51984,980.934,61.058,534,1149
70,51984,981.011,60.867,531,1137
71,51984,981.67,60.914,550,1151
72,51984,981.416,60.879,539,1138
73,51984,982.407,60.964,528,1135
74,51984,981.732,60.844,547,1141
75,51984,980.604,61.11,522,1151
76,51984,978.615,60.88,534,1150
77,51984,981.188,60.936,549,1168
78,51984,978.036,60.427,542,1140
79,51984,980,60.767,528,1155
80,51984,978.238,60.585,543,1142
81,51984,979.839,60.662,541,1150
82,51984,977.878,60.556,535,1142
83,51984,979.387,60.468,537,1140
84,51984,978.347,60.75,524,1136
85,51984,977.294,60.388,540,1159
86,51984,977.948,60.266,516,1165
87,51984,976.839,60.673,518,1135
88,51984,977.938,60.571,536,1148
89,51984,976.602,60.589,535,1153
90,51984,977.572,60.611,530,1136
91,51984,976.993,60.595,536,1140
92,51984,977.163,60.793,538,1142
93,51984,975.791,60.285,546,1140
94,51984,974.545,60.067,529,1130
95,51984,973.072,60.341,543,1138
96,51984,976.079,60.036,546,1139
97,51984,975.402,60.333,552,1164
98,51984,976.285,60.565,544,1130
99,51984,974.73,60.448,538,1147
100,51984,976.528,60.772,527,1156
101,51984,973.787,60.261,526,1138
102,51984,974.761,60.167,532,1135
103,51984,973.422,60.005,519,1130
104,51984,974.863,60.21,517,1138
105,51984,974.255,60.294,525,1129
106,51984,971.451,59.893,530,1139
107,51984,969.431,59.727,523,1134
108,51984,972.371,60.235,510,1128
109,51984,972.163,60.085,542,1162
110,51984,971.735,60.066,544,1146
111,51984,972.253,60.027,516,1144
112,51984,970.748,59.836,543,1124
113,51984,972.493,59.973,529,1160
114,51984,972.753,60.318,545,1139
115,51984,969.947,59.655,529,1131
116,51984,970.151,59.921,543,1131
117,51984,970.731,59.659,534,1140
118,51984,969.871,59.688,536,1122
119,51984,970.177,59.955,545,1129
120,51984,969.976,59.973,518,1147
121,51984,970.775,59.692,536,1125
122,51984,971.157,59.949,542,1155
123,51984,969.565,59.673,531,1141
124,51984,968.565,59.305,548,1140
125,51984,967.592,59.783,550,1139
126,51984,968.586,59.691,543,1142
127,51984,967.559,59.72,531,1162
128,51984,967.799,60.034,531,1124
129,51984,964.877,59.479,537,1135
130,51984,967.034,59.516,532,1124
131,51984,966.446,59.615,528,1139
132,51984,966.757,59.456,530,1144
133,51984,966.31,59.611,527,1147
134,51984,963.682,59.328,548,1153
135,51984,963.896,59.55,509,1148
136,51984,965.943,59.522,530,1132
137,51984,965.117,59.095,543,1125
138,51984,965.327,59.17,536,1121
139,51984,964.854,59.423,542,1120
140,51984,963.628,59.363,540,1121
141,51984,966.367,59.527,543,1130
142,51984,964.682,59.491,532,1131
143,51984,963.192,59.163,548,1125
144,51984,962.357,59.506,542,1127
145,51984,961.741,59.186,518,1112
146,51984,961.502,58.96,506,1133
147,51984,962.966,59.234,524,1119
148,51984,963.125,59.517,534,1131
149,51984,960.586,58.921,537,1142
150,51984,963.206,59.229,527,1144
151,51984,962.544,59.078,524,1117
152,51984,963.417,59.158,541,1119
153,51984,962.603,59.174,536,1138
154,51984,963.255,59.171,542,1133
155,51984,963.323,59.511,532,1142
156,51984,961.49,59.069,540,1135
157,51984,961.719,58.996,527,1135
158,51984,960.481,59.123,529,1133
159,51984,962.383,59.214,535,1144
160,51984,961.265,59.026,537,1124
161,51984,961.601,58.953,515,1114
162,51984,959.316,58.801,533,1143
163,51984,961.354,59.172,531,1118
164,51984,960.759,59.233,534,1143
165,51984,961.194,59.061,520,1124
166,51984,958.822,58.72,554,1124
167,51984,960.233,58.936,530,1129
168,51984,959.034,59.165,526,1116
169,51984,959.325,58.89,541,1116
170,51984,959.378,58.826,548,1150
171,51984,959.273,58.841,536,1116
172,51984,958.338,58.816,529,1119
173,51984,958.318,59.14,524,1118
174,51984,957.365,58.85,536,1118
175,51984,959.01,59.091,522,1144
176,51984,957.948,58.768,512,1108
177,51984,957.772,58.788,535,1120
178,51984,958.15,58.821,523,1118
179,51984,955.568,58.545,534,1114
180,51984,954.742,58.273,528,1143
181,51984,957.387,58.777,526,1108
182,51984,955.748,58.553,537,1105
183,51984,955.614,58.9,521,1107
184,51984,957.382,59.096,539,1123
185,51984,955.957,58.826,507,1129
186,51984,955.994,58.71,539,1120
187,51984,955.323,58.729,526,1118
188,51984,956.132,58.701,535,1118
189,51984,952.967,58.613,518,1116
190,51984,955.362,58.652,531,1111
191,51984,955.289,58.761,521,1122
192,51984,956.049,58.554,515,1122
193,51984,954.775,58.852,527,1132
194,51984,955.496,58.628,539,1113
195,51984,954.615,58.809,523,1122
196,51984,954.415,58.63,519,1114
197,51984,953.592,58.786,523,1137
198,51984,952.851,58.153,521,1111
199,51984,954.713,58.764,540,1112
200,51984,953.104,58.303,536,1117
201,51984,951.898,58.506,535,1114
202,51984,951.756,58.547,525,1103
203,51984,952.795,58.442,527,1106
204,51984,954.044,58.707,534,1111
205,51984,947.127,65.574,504,1146
206,51984,1060.108,67.993,554,1230
207,51984,1675.949,185.899,644,2013
208,51984,8931.541,1335.956,2272,10790
209,51984,4182.689,2869.718,1779,20344
210,51984,1921.083,3872.661,416,22287
211,51984,2863.598,3435.854,684,21228
212,51984,9566.703,922.875,2724,14065
213,51984,4885.38,354.595,1580,5565
214,51984,3020.516,328.579,1339,3989
215,51984,2917.905,216.811,1120,3469
216,51984,3060.243,228.19,1054,3531
217,51984,2436.225,246.392,872,2957
218,51984,1618.481,295.735,778,2381
219,51984,4191.288,1706.92,1526,7638
220,51984,4433.175,1887.211,1522,8360
221,51984,4901.692,1766.566,1559,8461
222,51984,2715.068,663.76,1123,4197
223,51984,3531.508,1352.922,1391,6787
224,51984,3350.852,1541.793,1267,7012
225,51984,3083.577,1550.905,1215,6791
226,51984,2819.451,1486.375,1137,6637
227,51984,2550.334,1374.582,1115,6457
228,51984,2298.346,1250.596,1020,6137
229,51984,2076.714,1121.707,1001,5742
230,51984,1875.583,987.387,915,5157
231,51984,1707.268,852.423,874,4732
232,51984,1604.338,727.249,860,4158
233,51984,1593.95,599.3,897,3716
234,51984,1527.079,475.792,781,3046
235,51984,2957.126,1166.995,969,4876
236,51984,3929.765,2104.655,1016,7222
237,51984,4001.192,2376.129,929,8017
238,51984,4010.544,2502.492,883,8546
239,51984,3900.26,2567.019,810,9149
240,51984,3826.926,2779.156,749,9572
241,51984,3798.194,2979.81,723,10103
242,51984,3752.602,3059.651,702,10093
243,51984,3645.354,3018.476,704,10129
244,51984,3511.968,2929.059,690,10077
245,51984,3372.212,2819.82,687,10120
246,51984,3224.771,2694.648,674,9672
247,51984,3098.117,2583.377,670,9221
248,51984,2937.509,2435.495,664,8767
249,51984,2810.505,2317.172,657,8396
250,51984,2669.959,2182.945,656,8123
251,51984,2546.855,2062.601,624,7636
252,51984,2429.328,1946.133,625,7401
253,51984,2312.461,1830.288,582,6914
254,51984,2205.484,1724.291,586,6633
255,51984,2105.515,1624.73,594,6194
256,51984,2006.812,1528.475,583,5870
257,51984,1918.61,1442.089,579,5537
258,51984,1839.698,1363.668,578,5339
259,51984,1765.943,1289.094,557,4976
260,51984,1695.277,1219.259,551,4832
261,51984,1627.638,1151.785,544,4519
262,51984,1570.545,1094.675,542,4301
263,51984,1511.666,1035.75,525,4152
264,51984,1465.675,988.81,514,3972
265,51984,1417.626,939.809,524,3801
266,51984,1376.96,898.945,525,3639
267,51984,1336.291,857.25,511,3518
268,51984,1294.71,815.756,522,3371
269,51984,1259.127,780.207,491,3197
270,51984,1228.019,748.788,491,3120
271,51984,1196.967,717.987,493,2991
272,51984,1167.64,689.443,493,2872
273,51984,1142.531,664.288,491,2797
274,51984,1115.425,637.307,493,2719
275,51984,1092.08,614.896,489,2621
276,51984,1070.831,593.905,477,2568
277,51984,1044.65,568.927,475,2481
278,51984,1026.843,551.589,473,2425
279,51984,1009.149,533.996,469,2347
280,51984,989.941,515.867,472,2268
281,51984,972.733,499.717,469,2281
282,51984,957.372,485.09,468,2165
283,51984,942.369,470.914,462,2143
284,51984,927.302,456.574,459,2100
285,51984,913.229,443.523,465,2017
286,51984,897.898,429.089,450,1980
287,51984,886.075,418.126,462,2007
288,51984,872.729,405.789,460,1932
289,51984,861.934,395.535,451,1875
290,51984,851.542,385.683,450,1858
291,51984,840.77,375.845,451,1804
292,51984,831.225,367.582,435,1774
293,51984,819.94,356.944,440,1752
294,51984,810.069,347.579,440,1730
295,51984,799.848,339.004,443,1664
296,51984,792.969,332.277,440,1649
297,51984,783.823,324.286,437,1651
298,51984,774.856,316.357,443,1608
299,51984,767.422,309.617,441,1560
300,51984,761.432,303.801,437,1576
301,51984,752.087,295.126,435,1515
