 ,Area1,Mean1,StdDev1,Min1,Max1
1,51984,811.918,435.599,413,1889
2,51984,801.026,434.454,394,1836
3,51984,800.714,434.15,395,1787
4,51984,800.329,433.88,402,1834
5,51984,800.076,433.657,400,1876
6,51984,799.259,432.596,396,1798
7,51984,799.618,433.339,396,1854
8,51984,798.107,431.47,400,1852
9,51984,797.107,430.462,400,1830
10,51984,797.738,431.286,397,1838
11,51984,798.165,431.366,402,1801
12,51984,798.405,431.75,403,1856
13,51984,797.294,430.563,396,1776
14,51984,796.529,429.686,395,1795
15,51984,797.181,430.487,399,1821
16,51984,797.036,430.245,405,1833
17,51984,795.536,428.512,396,1820
18,51984,796.654,429.993,405,1815
19,51984,796.225,429.138,407,1852
20,51984,795.291,428.41,400,1805
21,51984,795.753,428.629,402,1825
22,51984,793.851,426.764,400,1740
23,51984,794.149,426.85,391,1808
24,51984,794.219,427.224,402,1802
25,51984,794.704,427.389,395,1816
26,51984,794.066,426.856,376,1787
27,51984,792.985,425.54,385,1846
28,51984,794.169,426.678,400,1801
29,51984,792.272,424.903,400,1758
30,51984,793.509,426.13,399,1756
31,51984,791.132,423.777,381,1758
32,51984,792.586,424.94,402,1783
33,51984,791.476,423.976,385,1805
34,51984,790.769,423.32,406,1861
35,51984,789.457,421.912,391,1813
36,51984,792.112,424.771,397,1739
37,51984,789.02,421.681,401,1777
38,51984,789.402,421.701,404,1857
39,51984,789.427,421.763,387,1809
40,51984,788.702,421.045,406,1786
41,51984,787.728,419.854,388,1791
42,51984,787.916,420.14,388,1742
43,51984,787.333,419.813,387,1744
44,51984,787.294,419.501,382,1774
45,51984,787.529,419.601,391,1831
46,51984,787.539,419.544,401,1794
47,51984,786.058,418.264,398,1765
48,51984,785.873,417.951,389,1769
49,51984,785.985,417.713,398,1821
50,51984,786.073,418.119,389,1830
51,51984,783.381,415.001,392,1743
52,51984,785.177,417.054,403,1779
53,51984,784.987,416.685,395,1813
54,51984,784.697,416.209,388,1790
55,51984,784.322,416.092,394,1777
56,51984,782.742,414.295,400,1763
57,51984,783.539,414.781,394,1806
58,51984,784.256,415.862,401,1775
59,51984,784.091,415.813,392,1777
60,51984,783.68,415.389,405,1736
61,51984,782.077,413.569,402,1768
62,51984,782.815,414.574,393,1759
63,51984,781.715,412.808,385,1722
64,51984,780.593,411.846,405,1802
65,51984,781.027,412.28,390,1779
66,51984,780.761,411.997,397,1805
67,51984,779.995,411.13,387,1771
68,51984,781.052,412.137,403,1860
69,51984,779.664,410.772,397,1793
70,51984,781.025,412.357,404,1743
71,51984,779.983,410.988,388,1797
72,51984,778.262,409.052,396,1812
73,51984,778.536,409.527,392,1738
74,51984,777.903,408.622,392,1734
75,51984,777.333,408.219,400,1764
76,51984,777.338,407.95,379,1723
77,51984,776.889,407.692,396,1744
78,51984,776.051,407.147,402,1767
79,51984,776.131,406.96,385,1694
80,51984,775.716,406.836,406,1723
81,51984,776.739,407.42,392,1749
82,51984,775.71,406.208,390,1758
83,51984,775.482,406.34,399,1816
84,51984,774.806,405.148,389,1794
85,51984,775.071,405.408,391,1753
86,51984,775.264,405.967,395,1736
87,51984,774.085,404.69,395,1741
88,51984,773.527,404.254,397,1744
89,51984,774.16,404.926,408,1746
90,51984,772.307,402.729,397,1726
91,51984,773.407,404.064,393,1756
92,51984,771.842,402.317,406,1833
93,51984,771.422,401.904,397,1741
94,51984,772.692,403.052,396,1732
95,51984,771.96,402.477,395,1829
96,51984,771.279,401.571,402,1730
97,51984,770.9,401.249,401,1751
98,51984,771.506,401.609,397,1778
99,51984,770.141,400.365,400,1686
100,51984,768.77,398.837,399,1760
101,51984,770.521,400.563,395,1728
102,51984,770.061,400.23,383,1826
103,51984,768.995,399,399,1702
104,51984,768.291,398.242,380,1739
105,51984,766.188,396.054,405,1767
106,51984,765.495,395.614,400,1773
107,51984,765.971,396.486,396,1718
108,51984,763.786,394.43,387,1779
109,51984,762.769,393.263,390,1745
110,51984,763.119,393.72,407,1734
111,51984,761.729,392.708,390,1738
112,51984,762.115,393.278,398,1726
113,51984,760.932,391.802,397,1708
114,51984,761.155,392.049,399,1735
115,51984,761.543,392.83,394,1805
116,51984,760.528,391.54,388,1740
117,51984,760.858,392.034,407,1713
118,51984,760.186,390.955,372,1699
119,51984,761.221,392.048,400,1740
120,51984,759.896,390.613,377,1751
121,51984,758.846,389.538,389,1743
122,51984,758.942,390.003,404,1705
123,51984,758.423,389.403,394,1715
124,51984,757.926,388.586,383,1754
125,51984,758.44,389.231,397,1765
126,51984,757.493,388.055,388,1705
127,51984,758.215,388.766,399,1702
128,51984,758.028,388.859,385,1732
129,51984,757.331,388.014,397,1699
130,51984,757.536,388.137,398,1807
131,51984,756.903,387.573,402,1675
132,51984,756.829,387.373,392,1749
133,51984,757.844,388.422,396,1676
134,51984,757.401,387.602,394,1800
135,51984,756.617,387.166,391,1708
136,51984,756.494,386.678,402,1735
137,51984,755.169,385.236,380,1703
138,51984,755.14,385.234,381,1687
139,51984,757.118,387.506,400,1675
140,51984,755.722,386.043,382,1699
141,51984,754.496,384.783,397,1701
142,51984,753.605,383.614,388,1720
143,51984,753.775,383.854,398,1743
144,51984,748.32,379.518,400,1829
145,51984,746.432,378.586,385,1750
146,51984,747.81,380.131,398,1705
147,51984,748.013,380.274,391,1729
148,51984,748.946,381.665,405,1721
149,51984,749.727,382.551,403,1724
150,51984,750.227,383.331,384,1766
151,51984,750.377,383.534,393,1743
152,51984,751.521,384.781,393,1685
153,51984,752.983,386.705,393,1681
154,51984,753.266,386.75,389,1684
155,51984,754.338,388.1,386,1730
156,51984,754.638,388.573,382,1709
157,51984,754.031,388.296,396,1691
158,51984,755.511,389.864,384,1711
159,51984,756.718,391.438,396,1678
160,51984,757,391.673,391,1682
161,51984,757.568,392.541,404,1741
162,51984,758.908,394.076,386,1684
163,51984,759.006,394.185,403,1770
164,51984,759.954,395.497,400,1678
165,51984,759.307,394.561,379,1687
166,51984,760.4,395.979,393,1698
167,51984,759.127,394.759,390,1735
168,51984,760.189,396.208,392,1677
169,51984,760.365,396.393,398,1686
170,51984,761.197,397.106,402,1703
171,51984,762.101,398.114,394,1684
172,51984,762.988,399.126,389,1742
173,51984,762.934,399.416,401,1681
174,51984,762.548,398.825,396,1672
175,51984,762.342,398.66,396,1708
176,51984,762.336,398.942,395,1724
177,51984,763.662,400.324,394,1736
178,51984,762.606,399.105,380,1659
179,51984,761.517,397.884,395,1709
180,51984,763.002,399.509,392,1727
181,51984,762.245,398.651,389,1706
182,51984,763.117,399.915,381,1733
183,51984,761.929,398.674,400,1726
184,51984,762.285,398.756,391,1705
185,51984,761.359,398.082,366,1690
