 ,Area1,Mean1,StdDev1,Min1,Max1
1,51984,443.648,14.206,353,570
2,51984,433.738,13.263,374,507
3,51984,433.557,13.27,368,517
4,51984,433.609,13.277,378,519
5,51984,433.938,13.262,377,522
6,51984,433.835,13.189,376,509
7,51984,433.673,13.256,375,518
8,51984,433.707,13.312,372,520
9,51984,433.665,13.327,368,511
10,51984,433.657,13.274,372,518
11,51984,433.605,13.2,374,517
12,51984,433.536,13.231,370,510
13,51984,433.713,13.301,377,515
14,51984,433.865,13.244,365,515
15,51984,433.757,13.233,373,506
16,51984,433.691,13.237,369,529
17,51984,433.649,13.231,368,523
18,51984,433.649,13.185,373,513
19,51984,433.604,13.231,372,511
20,51984,433.559,13.178,379,514
21,51984,433.569,13.133,374,511
22,51984,433.531,13.212,375,515
23,51984,433.805,13.167,376,514
24,51984,433.547,13.145,373,526
25,51984,433.408,13.16,374,523
26,51984,433.482,13.264,365,528
27,51984,433.689,13.259,373,526
28,51984,433.603,13.163,379,521
29,51984,433.6,13.198,367,521
30,51984,433.508,13.26,382,515
31,51984,433.575,13.263,373,511
32,51984,433.56,13.151,371,532
33,51984,433.57,13.314,373,523
34,51984,433.68,13.312,372,519
35,51984,433.536,13.247,372,518
36,51984,433.471,13.227,382,526
37,51984,433.428,13.205,371,510
38,51984,433.489,13.216,375,509
39,51984,433.561,13.172,381,510
40,51984,433.624,13.308,364,525
41,51984,433.455,13.235,375,503
42,51984,433.509,13.25,361,509
43,51984,433.551,13.253,368,521
44,51984,433.629,13.272,370,507
45,51984,433.447,13.236,375,524
46,51984,433.445,13.188,370,513
47,51984,433.269,13.136,378,511
48,51984,433.429,13.135,367,532
49,51984,433.413,13.187,378,515
50,51984,433.552,13.279,375,517
51,51984,433.282,13.145,379,524
52,51984,433.408,13.166,374,529
53,51984,433.651,13.177,373,510
54,51984,433.476,13.18,367,513
55,51984,433.521,13.325,357,515
56,51984,433.308,13.215,371,519
57,51984,433.775,13.301,371,514
58,51984,433.448,13.337,358,544
59,51984,433.404,13.163,378,516
60,51984,433.547,13.269,369,515
61,51984,433.438,13.295,371,513
62,51984,433.46,13.262,373,516
63,51984,433.26,13.124,379,505
64,51984,433.429,13.314,375,532
65,51984,433.38,13.226,367,500
66,51984,433.317,13.155,364,519
67,51984,433.561,13.277,370,515
68,51984,433.268,13.262,371,510
69,51984,433.294,13.238,374,526
70,51984,433.318,13.212,374,520
71,51984,433.279,13.191,368,523
72,51984,433.31,13.213,368,515
73,51984,433.284,13.276,377,528
74,51984,433.394,13.265,363,529
75,51984,433.223,13.186,369,513
76,51984,433.475,13.202,373,505
77,51984,433.509,13.26,374,517
78,51984,433.262,13.23,376,525
79,51984,433.404,13.132,372,515
80,51984,433.518,13.287,374,509
81,51984,433.552,13.273,370,514
82,51984,433.4,13.27,367,535
83,51984,433.251,13.126,380,504
84,51984,433.281,13.267,377,515
85,51984,433.323,13.25,370,512
86,51984,433.211,13.148,371,516
87,51984,433.326,13.259,376,523
88,51984,433.208,13.161,378,517
89,51984,432.902,13.155,380,518
90,51984,433.017,13.197,376,522
91,51984,433.157,13.253,376,520
92,51984,433.198,13.284,371,508
93,51984,433.191,13.158,369,520
94,51984,433.498,13.269,362,512
95,51984,433.399,13.344,365,515
96,51984,433.287,13.333,376,526
97,51984,433.369,13.189,360,536
98,51984,433.139,13.287,370,525
99,51984,433.061,13.31,372,524
100,51984,433.228,13.187,372,521
101,51984,433.315,13.306,359,521
102,51984,433.203,13.179,375,519
103,51984,433.275,13.203,377,532
104,51984,433.067,13.264,374,524
105,51984,433.037,13.136,376,509
106,51984,433.127,13.288,369,519
107,51984,433.315,13.234,377,517
108,51984,433.317,13.148,370,509
109,51984,433.327,13.096,371,532
110,51984,433.145,13.097,372,513
111,51984,433.047,13.274,363,523
112,51984,433.109,13.198,340,524
113,51984,433.326,13.265,371,539
114,51984,432.946,13.165,363,523
115,51984,432.925,13.128,365,539
116,51984,433.065,13.126,361,516
117,51984,432.852,13.123,372,509
118,51984,433.031,13.305,369,534
119,51984,433.005,13.28,369,521
120,51984,432.888,13.228,370,537
121,51984,433.129,13.284,364,531
122,51984,432.847,13.211,365,523
123,51984,433.114,13.245,374,519
124,51984,433.021,13.16,370,516
125,51984,433.001,13.304,371,529
126,51984,433.076,13.282,375,514
127,51984,433.056,13.166,379,519
128,51984,432.785,13.09,370,514
129,51984,433.029,13.29,370,533
130,51984,432.979,13.226,365,521
131,51984,432.935,13.294,372,525
132,51984,433.103,13.235,369,522
133,51984,433.001,13.138,370,504
134,51984,432.795,13.254,375,515
135,51984,433.082,13.196,367,519
136,51984,432.977,13.325,373,513
137,51984,432.865,13.24,376,523
138,51984,432.868,13.186,370,513
139,51984,432.959,13.197,380,520
140,51984,433.058,13.215,361,510
141,51984,433.062,13.251,382,531
142,51984,432.908,13.277,354,513
143,51984,432.992,13.334,374,521
144,51984,432.972,13.194,375,522
145,51984,432.982,13.181,379,529
146,51984,433.07,13.308,376,522
147,51984,432.949,13.25,366,510
148,51984,433.06,13.149,353,508
149,51984,432.859,13.078,373,524
150,51984,432.91,13.113,377,512
151,51984,432.885,13.113,364,516
152,51984,432.942,13.209,369,516
153,51984,432.922,13.174,379,523
154,51984,432.845,13.105,379,534
155,51984,432.998,13.161,338,495
156,51984,432.746,13.215,379,514
157,51984,432.95,13.209,372,516
158,51984,432.926,13.171,368,515
159,51984,432.927,13.229,377,506
160,51984,432.946,13.229,373,514
161,51984,432.853,13.131,369,524
162,51984,432.857,13.145,375,509
163,51984,432.968,13.25,363,508
164,51984,432.912,13.21,375,524
165,51984,432.867,13.093,364,514
166,51984,432.892,13.294,366,520
167,51984,432.76,13.158,376,510
168,51984,432.917,13.222,369,538
169,51984,433.119,13.132,375,507
170,51984,432.913,13.204,369,510
171,51984,432.984,13.099,379,515
172,51984,432.74,13.129,362,514
173,51984,432.813,13.157,365,544
174,51984,432.856,13.13,379,530
175,51984,432.759,13.206,373,505
176,51984,432.746,13.213,376,530
177,51984,432.72,13.244,379,517
178,51984,432.709,13.068,367,516
179,51984,432.504,13.173,375,515
180,51984,432.742,13.116,374,517
181,51984,432.943,13.252,355,508
182,51984,432.64,13.161,375,502
183,51984,432.634,13.28,369,514
184,51984,432.641,13.12,343,520
185,51984,432.686,13.232,365,515
186,51984,432.902,13.124,377,522
187,51984,432.645,13.183,364,521
188,51984,432.696,13.172,365,511
189,51984,432.782,13.237,373,529
190,51984,432.895,13.173,365,505
191,51984,432.654,13.107,358,521
192,51984,432.874,13.127,373,515
193,51984,432.907,13.178,377,510
194,51984,432.962,13.118,339,518
195,51984,432.766,13.114,374,509
196,51984,432.863,13.241,372,556
197,51984,432.885,13.205,372,517
198,51984,432.805,13.177,383,517
199,51984,432.816,13.153,359,518
200,51984,432.574,13.071,373,517
201,51984,432.928,13.307,376,523
202,51984,432.699,13.3,381,524
203,51984,432.879,13.238,367,515
204,51984,432.71,13.12,367,520
205,51984,432.609,13.113,375,508
206,51984,432.59,13.265,370,521
207,51984,432.719,13.157,375,515
208,51984,432.793,13.158,376,518
209,51984,5082.056,583.423,1447,6270
210,51984,16157.713,1604.353,4951,18828
211,51984,3732.711,461.321,1592,8519
212,51984,8762.235,1148.818,3547,11485
213,51984,4690.278,548.731,1919,6172
