 ,Area1,Mean1,StdDev1,Min1,Max1
1,51984,1551.016,126.351,852,1929
2,51984,1540.953,126.525,846,1887
3,51984,1539.854,126.068,843,1921
4,51984,1540.793,126.321,850,1906
5,51984,1540.702,126.301,846,1873
6,51984,1540.371,126.008,836,1878
7,51984,1539.936,126.051,832,1964
8,51984,1540.220,126.343,865,1910
9,51984,1539.299,125.621,833,1860
10,51984,1538.775,125.910,854,1889
11,51984,1539.178,126.104,843,1874
12,51984,1539.820,125.893,867,1873
13,51984,1538.436,125.535,855,1907
14,51984,1539.214,125.938,838,1873
15,51984,1538.955,125.315,860,1893
16,51984,1538.966,125.288,861,1892
17,51984,1539.101,125.624,854,1901
18,51984,1539.079,125.476,850,1872
19,51984,1539.225,125.536,855,1870
20,51984,1537.641,125.073,816,1879
21,51984,1537.152,125.242,856,1876
22,51984,1537.364,125.318,841,1896
23,51984,1538.194,125.581,853,1867
24,51984,1538.220,125.393,832,1882
25,51984,1538.010,125.311,874,1891
26,51984,1536.825,124.983,852,1877
27,51984,1537.514,124.732,846,1884
28,51984,1537.169,125.022,863,1890
29,51984,1536.532,124.777,860,1922
30,51984,1537.538,124.953,838,1894
31,51984,1537.475,124.971,861,1881
32,51984,1537.184,125.124,843,1908
33,51984,1536.417,124.903,833,1905
34,51984,1537.063,125.302,852,1862
35,51984,1537.052,124.770,859,1884
36,51984,1536.779,124.613,831,1889
37,51984,1536.703,124.383,851,1885
38,51984,1536.675,124.830,845,1886
39,51984,1537.162,124.726,857,1866
40,51984,1535.836,124.529,855,1849
41,51984,1536.132,124.428,849,1888
42,51984,1535.700,124.499,851,1879
43,51984,1535.324,124.859,844,1913
44,51984,1535.366,124.507,852,1869
45,51984,1536.031,125.104,854,1906
46,51984,1536.147,124.656,842,1891
47,51984,1535.664,124.228,854,1915
48,51984,1535.660,124.541,833,1852
49,51984,1535.442,124.282,858,1886
50,51984,1535.393,124.140,847,1912
51,51984,1534.911,123.821,856,1918
52,51984,1535.474,124.038,851,1889
53,51984,1534.853,124.507,859,1901
54,51984,1534.744,124.088,829,1910
55,51984,1535.967,124.369,862,1851
56,51984,1534.837,124.282,853,1864
57,51984,1535.359,124.010,859,1874
58,51984,1534.135,124.041,852,1916
59,51984,1534.719,124.023,851,1891
60,51984,1534.662,123.989,827,1918
61,51984,1533.825,123.828,845,1939
62,51984,1534.045,124.010,859,1862
63,51984,1533.618,123.691,866,1852
64,51984,1532.620,123.574,847,1896
65,51984,1534.264,124.036,834,1902
66,51984,1533.365,124.063,832,1881
67,51984,1533.582,123.579,843,1890
68,51984,1533.799,123.644,866,1891
69,51984,1534.511,124.100,846,1857
70,51984,1533.291,123.502,856,1896
71,51984,1533.985,123.568,848,1919
72,51984,1535.090,123.693,857,1871
73,51984,1533.225,123.989,862,1963
74,51984,1533.200,123.253,862,1848
75,51984,1532.396,123.186,861,1852
76,51984,1533.916,123.612,856,1868
77,51984,1533.305,123.485,853,1930
78,51984,1533.131,123.432,865,1835
79,51984,1533.510,123.723,851,1900
80,51984,1533.210,124.144,823,1908
81,51984,1533.203,123.557,860,1876
82,51984,1532.472,123.238,862,1911
83,51984,1533.429,123.677,835,1875
84,51984,1533.021,123.366,852,1869
85,51984,1533.216,123.579,839,1914
86,51984,1533.015,123.340,866,1888
87,51984,1533.270,123.049,859,1889
88,51984,1532.598,123.378,836,1905
89,51984,1533.050,123.532,846,1838
90,51984,1532.559,123.140,838,1878
91,51984,1532.719,122.977,858,1904
92,51984,1533.488,123.393,843,1925
93,51984,1533.184,123.430,865,1854
94,51984,1533.045,123.690,831,1928
95,51984,1532.697,123.316,844,1862
96,51984,1533.014,123.456,832,1861
97,51984,1532.660,123.349,857,1879
98,51984,1532.668,123.012,852,1875
99,51984,1532.261,123.455,837,1916
100,51984,1531.530,122.852,858,1888
101,51984,1532.242,122.933,825,1884
102,51984,1532.536,123.344,863,1841
103,51984,1532.287,123.153,840,1864
104,51984,1532.048,123.142,870,1902
105,51984,1532.020,123.395,834,1893
106,51984,1531.981,122.954,851,1863
107,51984,1532.422,123.369,861,1884
108,51984,1533.052,123.208,844,1868
109,51984,1533.505,123.226,856,1933
110,51984,1532.319,123.317,866,1884
111,51984,1532.424,123.198,844,1869
112,51984,1532.259,123.079,843,1899
113,51984,1533.175,123.220,867,1859
114,51984,1532.360,122.996,848,1875
115,51984,1533.095,123.054,852,1869
116,51984,1533.931,123.527,849,1874
117,51984,1533.303,123.223,851,1864
118,51984,1533.815,123.252,859,1897
119,51984,1532.012,122.799,863,1881
120,51984,1533.468,123.207,819,1870
121,51984,1533.414,122.931,857,1907
122,51984,1531.796,122.840,862,1833
123,51984,1532.678,122.664,829,1899
124,51984,1531.662,122.916,849,1894
125,51984,1534.267,123.275,843,1885
126,51984,1533.345,123.163,867,1851
127,51984,1533.423,123.211,856,1881
128,51984,1533.123,123.307,854,1927
129,51984,1532.211,123.225,842,1927
130,51984,1532.464,122.952,872,1888
131,51984,1533.401,123.213,856,1872
132,51984,1533.116,123.235,866,1867
133,51984,1534.139,122.596,847,1890
134,51984,1533.603,123.116,852,1893
135,51984,1532.621,123.135,862,1877
136,51984,1533.606,123.320,832,1901
137,51984,1533.605,123.469,872,1894
138,51984,1533.028,122.857,839,1843
139,51984,1534.141,122.848,861,1868
140,51984,1533.821,123.137,864,1863
141,51984,1533.653,122.584,846,1877
142,51984,1532.755,122.903,842,1842
143,51984,1533.629,122.840,844,1864
144,51984,1533.065,122.945,857,1886
145,51984,1531.804,122.798,860,1885
146,51984,1533.516,122.745,860,1861
147,51984,1533.603,123.313,851,1848
148,51984,1533.227,122.932,823,1861
149,51984,1532.796,123.016,849,1881
150,51984,1533.795,123.037,858,1935
151,51984,1533.557,122.944,830,1864
152,51984,1533.275,123.016,839,1855
153,51984,1532.924,122.466,839,1876
154,51984,1534.080,122.872,840,1893
155,51984,1533.546,122.426,862,1920
156,51984,1534.003,122.927,843,1877
157,51984,1533.743,122.869,857,1884
158,51984,1534.061,122.701,858,1916
159,51984,1534.438,122.936,847,1890
160,51984,1533.583,122.909,848,1914
161,51984,1534.641,123.115,828,1876
162,51984,1534.218,123.269,860,1859
163,51984,1534.796,122.940,856,1861
164,51984,1534.828,122.800,840,1847
165,51984,1534.523,123.130,873,1910
166,51984,1534.523,122.818,858,1852
167,51984,1534.318,122.897,854,1925
168,51984,1533.861,123.034,862,1884
169,51984,1534.183,122.835,858,1873
170,51984,1534.148,122.983,848,1867
171,51984,1533.713,122.910,858,1860
172,51984,1534.644,123.172,851,1866
173,51984,1534.502,122.952,849,1871
174,51984,1534.735,122.711,862,1864
175,51984,1535.150,123.378,843,1885
176,51984,1534.695,122.656,867,1878
177,51984,1534.823,123.043,857,1863
178,51984,1535.554,122.484,827,1874
179,51984,1534.719,122.581,860,1875
180,51984,1533.913,123.256,841,1865
181,51984,1534.254,122.909,846,1875
182,51984,1533.808,122.829,856,1869
183,51984,1534.586,122.935,835,1878
184,51984,1534.124,122.755,854,1878
185,51984,1534.190,122.432,866,1878
186,51984,1533.966,122.608,861,1883
187,51984,1533.866,122.622,852,1852
188,51984,1534.043,122.692,864,1849
189,51984,1534.956,123.413,843,1880
190,51984,1534.596,122.530,842,1899
191,51984,1533.587,122.208,847,1887
192,51984,1534.098,122.318,869,1867
193,51984,1534.388,122.929,845,1865
194,51984,1533.831,122.587,863,1879
195,51984,1534.735,122.475,867,1882
196,51984,1533.831,122.644,841,1856
197,51984,1534.292,122.940,836,1879
198,51984,1534.609,122.197,869,1896
199,51984,1469.614,117.105,810,1818
200,51984,1360.766,106.431,771,1629
201,51984,1269.939,97.634,741,1542
202,51984,1191.536,89.731,683,1456
203,51984,1128.548,83.799,672,1351
204,51984,1080.611,79.282,636,1283
205,51984,1017.101,71.810,616,1224
206,51984,909.964,59.503,603,1109
207,51984,824.602,49.815,557,1023
208,51984,785.942,46.403,547,952
209,51984,773.902,48.607,524,917
210,51984,759.363,49.136,515,928
211,51984,699.342,72.205,474,936
212,51984,914.752,227.768,496,1430
213,51984,748.579,126.982,460,1071
214,51984,867.007,183.870,480,1290
215,51984,635.138,80.561,454,894
216,51984,766.823,247.283,457,1458
217,51984,786.147,320.763,452,1664
218,51984,807.187,386.842,441,1886
219,51984,839.679,457.592,434,2086
220,51984,901.340,548.936,429,2344
221,51984,1026.287,701.562,432,2703
222,51984,1230.722,948.592,435,3338
223,51984,1502.016,1284.242,432,4304
224,51984,1799.970,1663.527,436,5436
225,51984,2097.076,2053.670,438,6582
226,51984,2364.142,2417.829,424,7577
227,51984,2564.976,2725.187,440,8662
228,51984,2649.460,2915.129,419,9373
229,51984,2603.336,2959.423,436,9889
230,51984,2495.688,2915.011,429,9743
231,51984,2550.575,2863.185,425,9669
232,51984,3026.157,2975.908,438,9980
233,51984,3579.518,3016.452,439,9999
234,51984,2171.199,1427.009,488,5320
235,51984,2673.063,2235.823,473,7504
236,51984,2796.817,2575.717,459,8541
237,51984,2940.359,2875.877,468,9588
238,51984,3023.886,3152.790,446,10804
239,51984,3239.213,3559.195,448,11979
240,51984,3416.255,3853.601,446,12534
241,51984,3520.217,4024.025,450,13024
242,51984,3582.672,4142.246,441,13538
243,51984,3631.792,4238.807,443,13783
244,51984,3690.266,4336.934,437,14156
245,51984,3731.677,4410.811,436,14499
246,51984,3759.855,4463.985,428,14713
247,51984,3778.493,4496.028,430,15132
248,51984,3815.802,4532.325,428,14961
249,51984,3851.374,4572.934,424,15337
250,51984,3834.708,4559.058,444,15270
251,51984,3784.776,4514.331,438,15085
252,51984,3726.315,4461.019,423,15355
253,51984,3631.055,4357.696,426,15030
254,51984,3535.541,4248.473,432,14654
255,51984,3432.438,4125.319,428,14490
256,51984,3321.604,3988.313,431,14020
257,51984,3212.410,3852.843,431,13712
258,51984,3091.758,3705.410,424,13388
259,51984,2979.043,3566.029,420,12770
260,51984,2851.140,3401.849,422,12549
261,51984,2740.081,3257.342,422,11965
262,51984,2619.393,3097.595,406,11352
263,51984,2508.023,2947.357,408,10898
264,51984,2405.708,2799.877,407,10308
265,51984,2307.989,2660.007,405,9866
266,51984,2206.055,2523.596,419,9347
267,51984,2109.437,2399.387,419,8993
268,51984,2006.792,2265.225,420,8716
269,51984,1911.989,2139.928,388,8069
270,51984,1818.675,2014.355,406,7735
271,51984,1735.319,1898.283,405,7273
272,51984,1651.038,1779.310,407,6869
273,51984,1575.246,1670.716,396,6476
274,51984,1503.846,1567.896,399,6102
275,51984,1440.059,1475.563,390,5811
276,51984,1377.613,1385.307,403,5464
277,51984,1323.313,1306.570,376,5197
278,51984,1273.981,1235.237,398,4923
279,51984,1227.741,1168.686,385,4688
280,51984,1180.556,1101.398,389,4474
281,51984,1142.731,1045.609,401,4215
282,51984,1107.076,991.558,403,4054
283,51984,1070.804,938.789,392,3842
284,51984,1035.870,888.208,399,3693
285,51984,1003.223,841.652,400,3565
286,51984,969.655,793.726,398,3343
287,51984,938.696,748.476,400,3225
288,51984,909.815,704.494,394,3054
289,51984,883.313,663.408,393,2909
290,51984,859.788,627.104,401,2771
291,51984,832.679,586.257,379,2658
292,51984,810.073,552.014,401,2536
293,51984,790.671,522.027,398,2430
294,51984,769.916,489.787,371,2295
295,51984,749.780,458.637,386,2202
296,51984,731.260,429.973,390,2068
297,51984,716.706,406.551,393,1993
298,51984,700.911,382.524,393,1894
299,51984,687.362,361.203,396,1796
300,51984,674.593,341.585,391,1738
301,51984,664.222,324.826,393,1708
302,51984,653.461,309.062,390,1604
303,51984,644.555,295.186,391,1562
304,51984,635.197,281.013,397,1518
