 ,Area1,Mean1,StdDev1,Min1,Max1
1,51984,451.088,13.956,385,572
2,51984,441.502,13.143,377,516
3,51984,441.621,13.273,385,518
4,51984,441.454,13.121,376,509
5,51984,441.474,13.196,387,529
6,51984,441.725,13.130,367,519
7,51984,441.338,13.164,380,526
8,51984,441.521,13.093,383,522
9,51984,441.491,13.322,377,523
10,51984,441.563,13.149,373,512
11,51984,441.544,13.245,379,533
12,51984,441.420,13.220,376,535
13,51984,441.493,13.218,378,531
14,51984,441.570,13.179,375,536
15,51984,441.542,13.142,372,524
16,51984,441.381,13.323,371,531
17,51984,441.394,13.259,386,535
18,51984,441.639,13.180,379,524
19,51984,441.335,13.160,366,541
20,51984,441.578,13.106,365,518
21,51984,441.651,13.149,384,527
22,51984,441.528,13.277,370,521
23,51984,441.397,13.283,366,534
24,51984,441.736,13.194,381,532
25,51984,441.692,13.172,370,525
26,51984,441.449,13.260,375,533
27,51984,441.588,13.216,382,527
28,51984,441.572,13.158,384,515
29,51984,441.218,13.159,379,532
30,51984,441.419,13.193,371,519
31,51984,441.447,13.182,380,533
32,51984,441.621,13.174,378,537
33,51984,441.470,13.161,369,526
34,51984,441.566,13.201,375,538
35,51984,441.505,13.173,380,529
36,51984,441.677,13.190,376,516
37,51984,441.756,13.256,379,552
38,51984,441.618,13.108,373,526
39,51984,441.576,13.139,390,526
40,51984,441.762,13.120,379,519
41,51984,441.557,13.222,378,525
42,51984,441.605,13.162,378,521
43,51984,441.315,13.112,373,539
44,51984,441.535,13.140,377,522
45,51984,441.541,13.204,375,526
46,51984,441.617,13.220,380,543
47,51984,441.629,13.289,379,532
48,51984,441.656,13.142,380,531
49,51984,441.521,13.054,384,523
50,51984,441.624,13.237,381,523
51,51984,441.614,13.143,374,525
52,51984,441.424,13.134,387,539
53,51984,441.475,13.201,370,530
54,51984,441.523,13.190,383,524
55,51984,441.684,13.192,369,522
56,51984,441.582,13.268,377,540
57,51984,441.525,13.296,374,530
58,51984,441.466,13.121,386,524
59,51984,441.261,13.169,373,540
60,51984,441.421,13.194,382,534
61,51984,441.586,13.151,385,524
62,51984,441.222,13.283,386,519
63,51984,441.387,13.226,384,531
64,51984,441.511,13.154,366,514
65,51984,441.333,13.232,381,554
66,51984,441.576,13.151,386,518
67,51984,441.497,13.308,380,530
68,51984,441.656,13.286,376,540
69,51984,441.543,13.230,387,530
70,51984,441.423,13.200,375,551
71,51984,441.557,13.189,371,522
72,51984,441.444,13.226,377,531
73,51984,441.644,13.186,389,518
74,51984,441.494,13.214,373,531
75,51984,441.506,13.275,381,524
76,51984,441.569,13.133,381,545
77,51984,441.748,13.210,370,519
78,51984,441.659,13.199,367,531
79,51984,441.490,13.251,384,526
80,51984,441.451,13.193,376,537
81,51984,441.758,13.190,363,522
82,51984,441.627,13.282,376,535
83,51984,441.568,13.181,381,533
84,51984,441.543,13.247,376,528
85,51984,441.650,13.248,370,526
86,51984,441.595,13.127,376,543
87,51984,441.553,13.210,377,525
88,51984,441.493,13.217,367,510
89,51984,441.493,13.219,368,545
90,51984,441.580,13.190,369,533
91,51984,441.488,13.129,379,538
92,51984,441.367,13.250,380,540
93,51984,441.585,13.202,378,515
94,51984,441.601,13.220,374,520
95,51984,441.342,13.202,379,520
96,51984,441.594,13.246,381,548
97,51984,441.523,13.180,388,519
98,51984,441.515,13.169,379,523
99,51984,441.447,13.108,388,520
100,51984,441.433,13.092,373,522
101,51984,441.497,13.197,373,532
102,51984,441.460,13.234,380,523
103,51984,441.589,13.234,376,525
104,51984,441.594,13.177,383,519
105,51984,441.293,13.127,370,532
106,51984,441.720,13.265,378,535
107,51984,441.584,13.177,361,525
108,51984,441.566,13.091,375,523
109,51984,441.497,13.268,378,526
110,51984,441.623,13.241,387,526
111,51984,441.437,13.185,379,531
112,51984,441.587,13.207,383,531
113,51984,441.654,13.150,378,510
114,51984,441.670,13.192,386,528
